"Test Case ID","L1","L2","L3","Tên Folder/File","Tên hàm","Mục tiêu của testcase","Input/Request tương ứng","Expected output","Script Test","Test Result","Ghi chú"
"Confirm_Delivery","","","","Confirm Delivery","","","","","Confirm delivery is handled","P",""
"Report_Failure","","","","Report Failure","","","","","Response time is within threshold","P",""
"Report_Failure","","","","Report Failure","","","","","Report failure is handled","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Response time is within threshold","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Cancel claim is handled","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Response time is within threshold","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Assignment detail schema is valid","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","Response time is within threshold","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","All assignments response is valid","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Response time is within threshold","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Assignment lookup by order is valid","P",""
"Login_-_Customer","","","","Login - Customer","","","","","Response time is within threshold","P",""
"Login_-_Customer","","","","Login - Customer","","","","","Customer login response is handled","P",""
"Login_-_Admin","","","","Login - Admin","","","","","Response time is within threshold","P",""
"Login_-_Admin","","","","Login - Admin","","","","","Admin login response is handled","P",""
"Login_-_Shipper","","","","Login - Shipper","","","","","Response time is within threshold","P",""
"Login_-_Shipper","","","","Login - Shipper","","","","","Shipper login response is handled","P",""
"JWT_-_Validate_Customer_Token","","","","JWT - Validate Customer Token","","","","","Response time is within threshold","P",""
"JWT_-_Validate_Customer_Token","","","","JWT - Validate Customer Token","","","","","JWT validation request is handled","P",""
"JWT_-_Missing_Token","","","","JWT - Missing Token","","","","","Response time is within threshold","P",""
"JWT_-_Missing_Token","","","","JWT - Missing Token","","","","","Unauthenticated request is rejected","P",""
"JWT_-_Invalid_Token","","","","JWT - Invalid Token","","","","","Response time is within threshold","P",""
"JWT_-_Invalid_Token","","","","JWT - Invalid Token","","","","","Invalid token is rejected","P",""
"Security_-_Customer_token_denied_on_shipper_endpoint","","","","Security - Customer token denied on shipper endpoint","","","","","Response time is within threshold","P",""
"Security_-_Customer_token_denied_on_shipper_endpoint","","","","Security - Customer token denied on shipper endpoint","","","","","Customer token cannot access shipper-only API","P",""
"Security_-_Shipper_token_denied_on_admin_endpoint","","","","Security - Shipper token denied on admin endpoint","","","","","Response time is within threshold","P",""
"Security_-_Shipper_token_denied_on_admin_endpoint","","","","Security - Shipper token denied on admin endpoint","","","","","Shipper token cannot access admin-only API","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Response time is within threshold","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Create order response is handled","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Negative/validation scenario is rejected","P",""
"Create_Order_-_Invalid_Payment_Method","","","","Create Order - Invalid Payment Method","","","","","Response time is within threshold","P",""
"Create_Order_-_Invalid_Payment_Method","","","","Create Order - Invalid Payment Method","","","","","Invalid payment method is rejected","P",""
"Create_Order_-_Missing_Token","","","","Create Order - Missing Token","","","","","Response time is within threshold","P",""
"Create_Order_-_Missing_Token","","","","Create Order - Missing Token","","","","","Create order without token is rejected","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Response time is within threshold","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Get my orders is handled","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Envelope is valid","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Pagination boundary is respected","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Sorting is createdAt descending","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Response time is within threshold","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Get order by id is handled","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Response schema is valid","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Response time is within threshold","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Get order by code is handled","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Code lookup returns same orderCode","P",""
"Cancel_Order","","","","Cancel Order","","","","","Response time is within threshold","P",""
"Cancel_Order","","","","Cancel Order","","","","","Cancel order is handled","P",""
"Cancel_Order","","","","Cancel Order","","","","","Cancellation response is valid","P",""
"Shipping_Status","","","","Shipping Status","","","","","Response time is within threshold","P",""
"Shipping_Status","","","","Shipping Status","","","","","Shipping status request is handled","P",""
"Confirm_Received","","","","Confirm Received","","","","","Response time is within threshold","P",""
"Confirm_Received","","","","Confirm Received","","","","","Confirm received is handled","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Response time is within threshold","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Get all orders is handled","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Admin list returns array data","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Filtering by status is respected","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Pagination boundary is respected","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Sorting is createdAt descending","P",""
"Get_All_Orders_-_Invalid_Status","","","","Get All Orders - Invalid Status","","","","","Response time is within threshold","P",""
"Get_All_Orders_-_Invalid_Status","","","","Get All Orders - Invalid Status","","","","","Invalid status is rejected","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Response time is within threshold","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Get admin order by id is handled","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Admin order detail schema is valid","P",""
"Update_Order_Status_-_Invalid","","","","Update Order Status - Invalid","","","","","Response time is within threshold","P",""
"Update_Order_Status_-_Invalid","","","","Update Order Status - Invalid","","","","","Invalid order status is rejected","P",""
"Mark_Shipping_From_Ready","","","","Mark Shipping From Ready","","","","","Response time is within threshold","P",""
"Mark_Shipping_From_Ready","","","","Mark Shipping From Ready","","","","","Mark shipping from ready is handled","P",""
"Mark_Delivered","","","","Mark Delivered","","","","","Response time is within threshold","P",""
"Mark_Delivered","","","","Mark Delivered","","","","","Mark delivered is handled","P",""
"Cancel_Order_(Admin)","","","","Cancel Order (Admin)","","","","","Response time is within threshold","P",""
"Cancel_Order_(Admin)","","","","Cancel Order (Admin)","","","","","Admin cancel is handled","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Response time is within threshold","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Get available orders is handled","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Available orders response is valid","P",""
"Claim_Order","","","","Claim Order","","","","","Response time is within threshold","P",""
"Claim_Order","","","","Claim Order","","","","","Claim order is handled","P",""
"My_Orders","","","","My Orders","","","","","Response time is within threshold","P",""
"My_Orders","","","","My Orders","","","","","My orders response is valid","P",""
"Start_Delivery","","","","Start Delivery","","","","","Response time is within threshold","P",""
"Start_Delivery","","","","Start Delivery","","","","","Start delivery is handled","P",""
"Confirm_Delivery","","","","Confirm Delivery","","","","","Response time is within threshold","P",""
"Confirm_Delivery","","","","Confirm Delivery","","","","","Confirm delivery is handled","P",""
"Report_Failure","","","","Report Failure","","","","","Response time is within threshold","P",""
"Report_Failure","","","","Report Failure","","","","","Report failure is handled","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Response time is within threshold","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Cancel claim is handled","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Response time is within threshold","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Assignment detail schema is valid","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","Response time is within threshold","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","All assignments response is valid","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Response time is within threshold","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Assignment lookup by order is valid","P",""
"Login_-_Customer","","","","Login - Customer","","","","","Response time is within threshold","P",""
"Login_-_Customer","","","","Login - Customer","","","","","Customer login response is handled","P",""
"Login_-_Admin","","","","Login - Admin","","","","","Response time is within threshold","P",""
"Login_-_Admin","","","","Login - Admin","","","","","Admin login response is handled","P",""
"Login_-_Shipper","","","","Login - Shipper","","","","","Response time is within threshold","P",""
"Login_-_Shipper","","","","Login - Shipper","","","","","Shipper login response is handled","P",""
"JWT_-_Validate_Customer_Token","","","","JWT - Validate Customer Token","","","","","Response time is within threshold","P",""
"JWT_-_Validate_Customer_Token","","","","JWT - Validate Customer Token","","","","","JWT validation request is handled","P",""
"JWT_-_Missing_Token","","","","JWT - Missing Token","","","","","Response time is within threshold","P",""
"JWT_-_Missing_Token","","","","JWT - Missing Token","","","","","Unauthenticated request is rejected","P",""
"JWT_-_Invalid_Token","","","","JWT - Invalid Token","","","","","Response time is within threshold","P",""
"JWT_-_Invalid_Token","","","","JWT - Invalid Token","","","","","Invalid token is rejected","P",""
"Security_-_Customer_token_denied_on_shipper_endpoint","","","","Security - Customer token denied on shipper endpoint","","","","","Response time is within threshold","P",""
"Security_-_Customer_token_denied_on_shipper_endpoint","","","","Security - Customer token denied on shipper endpoint","","","","","Customer token cannot access shipper-only API","P",""
"Security_-_Shipper_token_denied_on_admin_endpoint","","","","Security - Shipper token denied on admin endpoint","","","","","Response time is within threshold","P",""
"Security_-_Shipper_token_denied_on_admin_endpoint","","","","Security - Shipper token denied on admin endpoint","","","","","Shipper token cannot access admin-only API","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Response time is within threshold","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Create order response is handled","P",""
"Create_Order_-_Data_Driven","","","","Create Order - Data Driven","","","","","Positive scenario requires auth token and is rejected without token","P",""
"Create_Order_-_Invalid_Payment_Method","","","","Create Order - Invalid Payment Method","","","","","Response time is within threshold","P",""
"Create_Order_-_Invalid_Payment_Method","","","","Create Order - Invalid Payment Method","","","","","Invalid payment method is rejected","P",""
"Create_Order_-_Missing_Token","","","","Create Order - Missing Token","","","","","Response time is within threshold","P",""
"Create_Order_-_Missing_Token","","","","Create Order - Missing Token","","","","","Create order without token is rejected","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Response time is within threshold","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Get my orders is handled","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Envelope is valid","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Pagination boundary is respected","P",""
"Get_My_Orders_-_Pagination_&_Sort","","","","Get My Orders - Pagination & Sort","","","","","Sorting is createdAt descending","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Response time is within threshold","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Get order by id is handled","P",""
"Get_Order_By_Id","","","","Get Order By Id","","","","","Response schema is valid","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Response time is within threshold","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Get order by code is handled","P",""
"Get_Order_By_Code","","","","Get Order By Code","","","","","Code lookup returns same orderCode","P",""
"Cancel_Order","","","","Cancel Order","","","","","Response time is within threshold","P",""
"Cancel_Order","","","","Cancel Order","","","","","Cancel order is handled","P",""
"Cancel_Order","","","","Cancel Order","","","","","Cancellation response is valid","P",""
"Shipping_Status","","","","Shipping Status","","","","","Response time is within threshold","P",""
"Shipping_Status","","","","Shipping Status","","","","","Shipping status request is handled","P",""
"Confirm_Received","","","","Confirm Received","","","","","Response time is within threshold","P",""
"Confirm_Received","","","","Confirm Received","","","","","Confirm received is handled","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Response time is within threshold","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Get all orders is handled","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Admin list returns array data","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Filtering by status is respected","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Pagination boundary is respected","P",""
"Get_All_Orders_-_Filter,_Page,_Sort","","","","Get All Orders - Filter, Page, Sort","","","","","Sorting is createdAt descending","P",""
"Get_All_Orders_-_Invalid_Status","","","","Get All Orders - Invalid Status","","","","","Response time is within threshold","P",""
"Get_All_Orders_-_Invalid_Status","","","","Get All Orders - Invalid Status","","","","","Invalid status is rejected","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Response time is within threshold","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Get admin order by id is handled","P",""
"Get_Order_By_Id_(Admin)","","","","Get Order By Id (Admin)","","","","","Admin order detail schema is valid","P",""
"Update_Order_Status_-_Invalid","","","","Update Order Status - Invalid","","","","","Response time is within threshold","P",""
"Update_Order_Status_-_Invalid","","","","Update Order Status - Invalid","","","","","Invalid order status is rejected","P",""
"Mark_Shipping_From_Ready","","","","Mark Shipping From Ready","","","","","Response time is within threshold","P",""
"Mark_Shipping_From_Ready","","","","Mark Shipping From Ready","","","","","Mark shipping from ready is handled","P",""
"Mark_Delivered","","","","Mark Delivered","","","","","Response time is within threshold","P",""
"Mark_Delivered","","","","Mark Delivered","","","","","Mark delivered is handled","P",""
"Cancel_Order_(Admin)","","","","Cancel Order (Admin)","","","","","Response time is within threshold","P",""
"Cancel_Order_(Admin)","","","","Cancel Order (Admin)","","","","","Admin cancel is handled","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Response time is within threshold","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Get available orders is handled","P",""
"Get_Available_Orders","","","","Get Available Orders","","","","","Available orders response is valid","P",""
"Claim_Order","","","","Claim Order","","","","","Response time is within threshold","P",""
"Claim_Order","","","","Claim Order","","","","","Claim order is handled","P",""
"My_Orders","","","","My Orders","","","","","Response time is within threshold","P",""
"My_Orders","","","","My Orders","","","","","My orders response is valid","P",""
"Start_Delivery","","","","Start Delivery","","","","","Response time is within threshold","P",""
"Start_Delivery","","","","Start Delivery","","","","","Start delivery is handled","P",""
"Confirm_Delivery","","","","Confirm Delivery","","","","","Response time is within threshold","P",""
"Confirm_Delivery","","","","Confirm Delivery","","","","","Confirm delivery is handled","P",""
"Report_Failure","","","","Report Failure","","","","","Response time is within threshold","P",""
"Report_Failure","","","","Report Failure","","","","","Report failure is handled","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Response time is within threshold","P",""
"Cancel_Claim","","","","Cancel Claim","","","","","Cancel claim is handled","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Response time is within threshold","P",""
"Assignment_Detail","","","","Assignment Detail","","","","","Assignment detail schema is valid","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","Response time is within threshold","P",""
"Get_All_Assignments","","","","Get All Assignments","","","","","All assignments response is valid","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Response time is within threshold","P",""
"Get_Assignment_By_Order","","","","Get Assignment By Order","","","","","Assignment lookup by order is valid","P",""
